Output,x1,x2
-1,-0.024625981,1174.600238
1,-0.978057706,1083.198803
-1,0.314271995,-1472.977609
-1,0.179751566,231.0172673
1,-1.262543743,-778.2717265
-1,0.249969939,-52.80148265
1,-1.870397479,-324.2353482
1,0.020418759,-64.74495149
1,0.065806282,-421.6841008
1,-0.638901997,-405.8433751
-1,0.955832355,-1057.055777
1,-0.735216956,585.3180301
1,-1.255668686,874.0798092
1,0.283627324,631.948284
-1,-0.143175974,47.00244537
1,-0.358935926,-307.7743221
1,-0.8176683,763.1605142
-1,1.316605596,1266.429299
-1,0.742686221,-1842.031838
-1,0.245379407,366.7321981
1,-0.90000857,-434.0047383
1,0.931529613,-341.2060646
1,0.130214954,-920.0931085
-1,0.668316867,774.0000021
-1,-0.102910614,856.5548564
1,-0.361639932,-1142.95204
-1,1.069315969,-682.7647198
1,0.765054846,-121.1668033
-1,0.02968323,1158.068874
1,0.087730464,-423.0277452
-1,0.142990028,829.170399
-1,0.850102884,299.8850665
-1,0.059291134,330.5632765
1,-0.008660467,-292.0041628
1,-0.401414428,304.5151754
1,-1.727669494,-1450.683142
-1,0.244026938,-210.0564126
1,-1.708991777,-513.0506104
1,-0.518703852,-421.0785054
-1,-0.598731767,-309.751144
1,-1.184327339,-2042.096416
1,-1.074766593,-1360.007677
1,-0.126117773,-98.09158279
-1,1.258721303,609.790506
1,-0.256845361,-1931.768979
-1,0.835058747,-553.4043288
1,-0.407512592,238.7606717
-1,0.154290051,487.0092938
1,-1.653697839,-692.583116
1,1.175910772,935.9884509
-1,1.264625287,-1605.180796
1,-0.669647148,-187.9039388
-1,0.590704218,-119.5187804
-1,0.403085961,38.166312
-1,0.499740145,-654.3810858
1,0.307384219,-1604.436401
-1,-0.080583222,1101.525986
-1,2.205930083,149.9338285
-1,-0.335010762,168.7222669
-1,2.598303927,-372.2717314
-1,0.673648934,1720.92032
-1,0.449135613,1008.650956
-1,-0.552108071,946.1858967
1,-0.159245209,-1407.268563
-1,0.16444123,1333.190703
-1,0.750944597,-49.01169879
-1,0.807308186,160.2937211
1,-1.32060258,-245.5976659
-1,0.737368576,-2122.298883
-1,-0.42668977,-1178.936954
-1,-0.529988864,1016.391269
-1,0.278033712,126.516506
-1,0.68829693,380.9214338
-1,2.056467341,151.6075936
-1,0.199582111,-27.45837669
-1,0.310122521,1012.868195
1,-2.025045763,-379.7303276
1,0.325463628,-799.3391542
1,-0.678886152,416.1238145
-1,0.978736006,-123.6887329
1,0.63048803,881.4169198
-1,0.90430622,-358.0201026
1,0.311581503,470.2637476
-1,0.120747363,581.5898029
-1,0.142425585,1448.576585
-1,-0.694798215,1418.729276
1,-0.608710803,-1620.75198
-1,1.471929369,628.3201029
1,0.363445562,1256.820832
-1,1.064422688,43.2505429
-1,0.807236535,1308.193564
-1,-0.682450934,1523.852017
1,-0.212080122,-736.2639343
-1,-0.479122945,91.42830851
1,-0.570958087,-152.394498
-1,0.64021868,1629.611319
-1,1.177861939,1606.596805
1,-0.075120588,-1481.958456
-1,0.665653438,-8.902825012
-1,0.686200686,-470.7855577
1,-0.346090034,-264.9864518
1,-2.443075786,933.5850944
1,1.253335947,-57.466127
1,0.976812982,-116.9317401
1,-0.861754896,585.7681387
1,1.170454297,-3167.055329
1,-0.586615951,-1412.779486
-1,0.391584242,-853.2015158
-1,-0.332475275,1045.857328
-1,2.250676031,-1786.526853
-1,0.704474074,-605.0126561
-1,1.408369146,52.80567541
-1,1.161068358,704.9794804
1,-1.4286807,-1131.640927
1,-1.081819123,-2236.168842
-1,0.27966267,-43.04177578
-1,0.18103513,232.6496582
1,-1.329078829,-1158.415911
1,-2.12310035,1255.464322
1,-0.353754334,-1039.104383
1,0.675963393,-1830.666362
1,1.175829045,-347.9643379
-1,-1.755401845,-1182.152891
-1,0.907105196,600.8825087
1,-0.666807509,-348.2581188
1,-1.212523131,-1660.475071
1,-0.935833868,-590.324918
-1,-0.61122534,1629.121205
-1,-0.006307251,-251.0374552
-1,1.004053898,303.7879308
1,-0.44398196,-1088.508555
-1,0.290874387,-284.2470984
1,-1.751070349,-102.3910751
1,-0.171596005,-1186.925387
1,-0.548642128,-739.1422744
-1,0.81234133,-759.8350886
-1,0.002845916,1588.067886
1,0.794862668,226.2616471
-1,0.937850297,-881.7485267
-1,0.199524074,817.1882801
-1,0.386186399,243.7657605
-1,0.165956974,296.3586561
-1,0.419567676,1131.443608
-1,1.719034681,134.97011
1,-1.007508801,-971.9368371
-1,-0.578600252,1260.821269
-1,0.695787319,-845.6444284
1,-0.456425956,23.05220826
1,0.072907243,-416.3452853
1,-0.094708969,-132.8011745
-1,0.993806707,-1112.52931
1,-1.639396968,670.5123906
1,-1.346357561,-1807.621277
-1,-0.740813773,1220.078514
-1,1.534090289,551.3022181
1,-1.118695601,997.9573857
1,-0.029968007,-127.562162
-1,0.642054689,1140.656243
1,-1.294085323,-69.62309872
-1,-0.348607515,1089.165382
1,-1.100043113,-295.8290679
-1,0.703310118,38.44707665
1,-0.291506713,-1106.385906
1,-1.692052415,-683.225943
1,-0.013603886,-1201.936681
-1,1.785168814,-327.7642447
1,-0.144013347,-1319.891559
1,0.109403156,-893.195947
1,-0.199112383,-138.6829453
1,-0.510342874,23.37234329
-1,0.541231297,892.2000851
1,-0.062398549,-1166.471321
1,-1.198301145,247.9798847
-1,1.518865624,95.9204124
1,-1.503458399,-453.5691762
1,-2.557054604,287.2142809
-1,0.896058313,-820.3755201
-1,0.567880067,634.7631316
1,-0.637692139,650.154901
-1,0.003645155,154.9118597
1,-1.569256127,-449.6676017
1,0.177192329,-1576.232847
1,-1.212268963,-824.5005748
1,-1.048991677,-234.3187246
-1,-1.773771353,523.3426304
-1,0.382870239,-8.256514668
-1,1.601907651,565.396564
1,-0.192614986,-1224.529093
1,-2.152493444,887.4423184
-1,0.189043442,-184.5991772
1,0.129385524,-692.9227964
-1,-0.26929349,1072.629746
1,-0.145363543,-482.3653151
-1,0.261989197,1178.057004
1,-1.876868656,-402.1597351
1,-0.548955096,1042.335368
-1,0.927462432,960.8800752
1,-1.05021899,-419.6407416
-1,0.945876984,528.010474
1,1.984582398,-1775.242841
1,-0.126029585,-167.0002744
1,-1.305785866,-1570.528601
-1,1.012739054,533.5108183
1,-1.771533105,440.5823003
1,-0.659560088,81.4908987
1,-0.188296858,-53.60946007
-1,0.481874257,-355.6131283
-1,0.42614664,413.8630815
-1,-0.255619371,465.770066
1,0.748215617,-234.4149119
-1,-1.605409744,47.34188091
-1,-0.877613587,1320.268319
1,-0.879536343,-1.874691726
1,-0.246815777,-396.1559224
-1,0.890706391,1089.532657
-1,1.039727091,974.3862033
1,-1.326487785,345.1242406
1,-0.142050727,-1111.430448
1,-0.427679598,279.9435713
1,-1.040162881,-692.0526017
1,-1.88849238,-1730.98945
-1,-1.095026457,1642.182772
1,-0.233092061,505.6858513
1,-1.420212999,126.1806809
1,1.062214469,-1184.657493
-1,0.573805862,1220.568914
-1,0.068788333,-38.32121774
-1,0.673491278,-1297.10002
-1,0.728535401,-539.3901195
1,-1.37094847,-473.3549701
-1,1.959411342,-602.339983
-1,-0.997321469,-675.4694338
1,0.41569454,-1374.496879
-1,1.030379331,145.979225
1,-1.147237141,-980.0066473
-1,0.379400612,912.6879358
-1,1.875800547,911.4606096
-1,0.579689779,-549.2535887
-1,0.600175236,-425.0761037
1,-0.529914099,419.5891452
-1,-0.551936876,409.3550249
1,-0.669102626,-209.9737359
-1,0.690777273,1428.663834
1,-1.411888876,214.5860747
-1,-0.239668781,-439.6722054
-1,1.523663776,-169.7438178
1,-0.270232392,-1160.129662
-1,0.28460303,-35.60548461
1,-0.97430785,-154.2053115
1,-2.798589105,-1417.894488
-1,0.956601931,-383.4163111
-1,1.031114459,275.3418631
-1,2.200702099,1613.381535
-1,1.612193043,300.7954394
-1,-0.837516723,1929.832434
-1,0.124055896,425.3358569
1,-0.682538154,-929.7116344
-1,1.495644137,1068.160387
-1,0.321686576,600.5710943
-1,1.131151905,-346.167148
1,0.420179597,-1094.273419
1,-2.426679243,-990.2746893
1,-0.704342147,495.1808888
1,-0.963253686,-272.6544615
-1,1.744041087,-179.588501
-1,1.340098704,-229.4266289
1,-1.92371573,-10.03265276
1,-0.247621379,24.2113609
-1,-0.665856967,-2272.617711
-1,0.983033396,351.6793718
1,-0.756437209,-2052.398405
1,-1.518107975,-1399.233869
-1,2.08711336,588.6855547
1,0.058687438,-669.2056055
1,0.990132895,-2794.472298
1,-0.413756881,-392.3091921
-1,-0.318956989,1308.518452
1,-1.32626546,6.029327171
-1,0.688222711,112.6441722
1,-1.374687971,747.3929615
1,-0.274877547,-597.8550806
-1,-0.563923932,1986.763037
-1,2.238143339,888.1945413
-1,0.468439119,94.15288552
-1,1.39535293,116.8281156
-1,-0.354000113,800.9296467
-1,0.997345447,69.64074949
-1,-0.823431406,1525.444236
-1,1.544544451,-972.5563236
-1,1.374990631,1052.401069
1,-0.194342727,-60.79410601
-1,-0.898422941,577.7939542
1,0.50124899,-1147.525409
1,0.322576738,-2424.836325
1,-0.688868984,-1200.043278
-1,-0.126437564,1861.564124
-1,-0.490972283,1815.652064
1,-0.375749911,-314.0743742
1,-1.861975711,-1083.677679
1,-0.039329335,-1863.884299
