Product Name,Rating,Reviews,cluster_id
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",2,The charging port was loose. I got that soldered in. Then needed a new battery as well. $100 later (not including cost of purchase) I have a usable phone. The phone should not have been sold in the state it was in.,0
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",1,"Just... not good. The phone has great screen resolution, storage is low, you need an SD card to do anything. May have a clear ESN but don't expect to use it with things like Freedompop.",1
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",4,Phone good just a little slow phone old but it's a great phone temporary right now. thank you for the great deal,2
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",5,Met all of my expectations. I can't complain at all. Great price!,3
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",4,Works wonderful for the price!,0
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",5,Very practical and user-friendly phone. I am very satisfied with it.,1
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",5,excelente,2
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",5,"This is a solidly-built unlocked phone that is an update to the popular Nokia C3. It runs the S40 software which has its goods and bads. It has good reception and nice audio. The 3g supports 850 and 1900 bands (AT&T and T-mobile when it's hspa is refarmed from 1700/2100 to the 1900 pcs band.) + the 2100 band.The keyboard is pretty good, not as firm as other Nokia qwerty phones (e.g. E5), but comparable to the C3 keyboard. The one that I have is obviously for the world market, since it has some added European chars and symbols on the keypad. Wi-fi works fine, and Opera Mini installed and runs without problems - good way to go for a bit of web-surfing. I did not tried any of the e-mail or social clients. Text messaging can be set to 'normal' in-box or conversation modes. OVI store app does not seem to work that well. There are a couple of features that I found appealing: ability to backup the phone memory to the sd card; ability to lock the keypad with a passcode either manually or automatically after a set time. The battery is fairly good sized (BL-5J). The 'function' keys and the d-pad keys can all be re-assigned to user defined short-cuts. My opinion: it is a worthy update (3g) to the C3, not quite in the same league as the more expensive E5 which has the multi-tasking S60 software. For the price of around $110, it is an unlocked feature (gsm/3g) phone well worth considering, as long as one knows that one is getting a non-smart phone and that apps for S40 is very limited.",3
"(LANDVO) 5.0"" Capacitive Touch MTK6582 Quad Core Android 4.2.2 3G Phone 512MB RAM 4GB ROM 2MP CAM WiFi GPS - Black",3,"Valid for Movilnet in Venezuela, low memory, bad camera, low price, great!!",0
"(LANDVO) 5.0"" Capacitive Touch MTK6582 Quad Core Android 4.2.2 3G Phone 512MB RAM 4GB ROM 2MP CAM WiFi GPS - Black",5,"Is a good product That I recomended it has all you will need, it's fast good looking very good,thank you",1
"(LANDVO) 5.0"" Capacitive Touch MTK6582 Quad Core Android 4.2.2 3G Phone 512MB RAM 4GB ROM 2MP CAM WiFi GPS - Black",5,fino fino,2
"(LANDVO) 5.0"" Capacitive Touch MTK6582 Quad Core Android 4.2.2 3G Phone 512MB RAM 4GB ROM 2MP CAM WiFi GPS - Black",4,"All around good phone, not glitchy at all, or laggy. There are a fee problems such as the storage being very small (only 2gb) and the camera is very poor quality. I'm pretty certain that you can buy a Galaxy S 4 camera and install it to this phone. But all around this is a pretty great phone!",3
3 Pack Replacement Belt Clip Holster for Otterbox Iphone 5 Defender Case - Black,5,Good product and just as described,0
3 Pack Replacement Belt Clip Holster for Otterbox Iphone 5 Defender Case - Black,1,I purchased the 3 pack a few weeks back and I just broke the third one today. These are brittle and slightly smaller than they need to be to fit a defender case. My last Otterbox clip lasted over a year before it finally broke. I would not recommend this item.,1
3 Pack Replacement Belt Clip Holster for Otterbox Iphone 5 Defender Case - Black,5,These seem to be the same as the original at a much lower price.,2
3 Pack Replacement Belt Clip Holster for Otterbox Iphone 5 Defender Case - Black,4,Works great.,3
"4 Inch Touch Screen Cell Phone Unlocked, Android Unlocked Gsm Smartphones Dual Camera Dual Sim Dual Standby No Contract (Blue)",5,"I put it into use as soon as I received it. It is a real good thing which matchs for its price. The workmanship is very fine and it possesses an elegant appearance and human-oriented design. By the way, the packaging is combined with conciseness and simplification.",0
"4 Inch Touch Screen Cell Phone Unlocked, Android Unlocked Gsm Smartphones Dual Camera Dual Sim Dual Standby No Contract (Blue)",5,"Phone is alright, though it did not come with an SD card which you need if you're going to install a few apps",1
"4 Inch Touch Screen Cell Phone Unlocked, Android Unlocked Gsm Smartphones Dual Camera Dual Sim Dual Standby No Contract (Blue)",5,excelent,2
"4 Inch Touch Screen Cell Phone Unlocked, Android Unlocked Gsm Smartphones Dual Camera Dual Sim Dual Standby No Contract (Blue)",1,not good,3
"5.0"" Cell Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Smartphone White",5,"My niece is 15 and so hard on phones, my sister has spent a ton of money replacing phones because at 15 years old the right phone matters. I was given the opportunity to try out the Juning 5"" Android phone and passed it along to my niece because I knew it would be perfect for her.Starting with the obvious looks. Just by looks alone, it's amazing. It's Pink and that is something so different than the average phone you can get with a major carrier. It easily resembles a Samsung in size and button placement so she doesn't look ""uncool"" and the screen is BIG which is important as we all know.The phone easily connected to my homes wifi for set up and I was more than impressed with the speed of it. The quad core is very compatible to my iPhone 6s Plus but without the $750 price tag. It is up to date on android and had many features that my niece was looking for including a front facing camera for those snapchat selfies. There is plenty of space to download other apps from the Google play store once you get yourself set up too.It is a dual sim phone but my niece doesn't travel out of the country though if that's of importance to you having that extra SIM card port is amazing.**3G (WCDMA 850/2100) 2G Quad Band (GSM 850/900/1800/1900) **That is the specifics as far as what the phone is compatible with. We have T-Mobile and it worked with no issues or lag straight away when we popped her SIM card in. Keep in mind this is at 3G and 2G speeds, it is in no way compatible with 4G or 4G LTE services but as we all know, most companies throttle our data to 2G after just a few gb and I hardly notice at all. I honestly noticed no lag at all in this phone at 3G or 2G speeds.The phones comes with a charger, earbuds, screen protector and a silicone case. I tried a Samsung lightening charger I had around the house but it didn't fast charge the phone. The ear buds are pretty meh.. Nothing amazing and the silicone case is better than nothing. My niece likes it because it is clear and shows off that she has a very unique pink phone. It seems like it provides better protection than none but I'm not sure where to find others since this is kind of a newer brand of phone.Overall, I'd say this is a great phone. It performs great and. For the price, you really can't beat all the kick you get in this Android phone. I'm an iPhone lover but my son is wanting one of these Junings for himself now too and they come in a variety of colors so maybe we will give it another go.I did receive this item for free in exchange for my unbiased review however that did not influence my opinion in any way.",0
"5.0"" Cell Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Smartphone White",1,Cheap-- I am sending it back..,1
"5.0"" Cell Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Smartphone White",1,Attractive phone but did not work upon arrival. I would not recommend.,2
"5.0"" Cell Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Smartphone White",4,So to be put to use by the beneficiary,3
"5.0"" Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Cellphone Gold",3,volume not loud,0
"5.0"" Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Cellphone Gold",1,Attractive phone but did not work upon arrival. I would not recommend.,1
"5.0"" Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Cellphone Gold",1,Just received phone... Phone will not power on or take a charge?,2
"5.0"" Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Cellphone Gold",1,Didn't work when it arrived! So I returned it! What a waste,3
"5.5"" Unlocked Smartphone Dual Sim Quad Core-JUNING Android 5.1 Cellphone Black",2,"I ordered two of these based on the reviews..however I am very disappointed as they don't work as advertised, especially the camera and video functionality. I do not recommend and will be returning them.",0
"5.5"" Unlocked Smartphone Dual Sim Quad Core-JUNING Android 5.1 Cellphone Black",5," This phone is a very pretty looking phone. It offers a slim profile however still great battery length. The quality is great. I was really satisfied with both the video and sound the phone offers. I have to say the color of the phone is one of my favorite features. It's not a tacky gold color. It don't appear cheap. It's actually more of a flat yet metallic look. The phone is very comfortable to hold and definitely isn't heavy. The battery, sim card slot, and SD slot are very easy to access and use. For me, this is very beneficial as I have to swap batteries often since I have to be on mobile web many hours a day. I often have to store photos and files on the SD cards for work. I also flip my sim cards between phones for work as well. This phone made things more convenient for me. The next favorite feature is the hot spot and tethering. I tether often with work and home life. I live in a town where the internet is very slow, and when I turn my tethering on, I can accomplish all my tasks faster than if I had just used my home wifi. The phone comes preloaded with both apps and quick load tabs. If your a busy person on the run like I am, these features are lifesavers. I often have to swap back and forth between four apps, and use many internet pages all day long. The fast tabs stop you from typing in URLs incorrectly. This phone helps me in both my personal and work life. The phone holds signal better than the prepaid phone I use. The battery life seems to last longer as well. I really enjoy this phone. I've enclosed a video to see the features of the phone. I would recommend this phone. I received this phone for free or at a reduced rate in exchange for my honest opinion.",1
"5.5"" Unlocked Smartphone Dual Sim Quad Core-JUNING Android 5.1 Cellphone Black",1,"worked well for a little while, however phone is unable to send or receive picture messages from the very beginning. what's weirder though is that the phone recieves adds at random, the camera app has adds, sometimes just random adds on the home screen and now that the phone is a week outside the return window it no longer charges at all. an absolute piece of garbage, don't waste your money",2
"5.5"" Unlocked Smartphone Dual Sim Quad Core-JUNING Android 5.1 Cellphone Black",1,Junk,3
5.5-Inch Unlocked Lenovo A850 3G Smartphone-(960x540) Quad Core 4GB MT6582m 1331MHz Android 4.2 Dual Camera +Dual SIM -Black (Rooted + Google Play),3,1. phone comes with no manual.2. no support from lenovo usa. their primary focus is on lab tops not phones.3. tried to get manual on line no luck.4. has programs in chinese which cannot be removed.5. 5.5 screen is great + clarity!,0
5.5-Inch Unlocked Lenovo A850 3G Smartphone-(960x540) Quad Core 4GB MT6582m 1331MHz Android 4.2 Dual Camera +Dual SIM -Black (Rooted + Google Play),4,very good product,1
5.5-Inch Unlocked Lenovo A850 3G Smartphone-(960x540) Quad Core 4GB MT6582m 1331MHz Android 4.2 Dual Camera +Dual SIM -Black (Rooted + Google Play),5,Great phone for the price.,2
5.5-Inch Unlocked Lenovo A850 3G Smartphone-(960x540) Quad Core 4GB MT6582m 1331MHz Android 4.2 Dual Camera +Dual SIM -Black (Rooted + Google Play),5,excelente,3
"6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)",1,I can't get it turned on thur straight talk I thought it was unlocked,0
"6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)",1,"The phone is amazing other than the worthless camera. I used to love this phone but now I hate it, it downloads apps on it's own and it has a virus on it. Don't buy this phone its not worth it.",1
"6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)",1,I purchased this phone and didn't work,2
"6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)",4,Very satisfy,3
"6.0"" FWVGA Screen MTK6577 Dual Core 1.2GHz Android 4.0 3G Smart Phone N9776 (White)",1,"Don't even think about buying it. Its a piece of failed technology, I wasted my money buying it. Its now in the trash.",0
"6.0"" FWVGA Screen MTK6577 Dual Core 1.2GHz Android 4.0 3G Smart Phone N9776 (White)",1,loved the phone. I've had it a month and last night it just turned off. will not turn back on or charge. very upset.,1
"6.0"" FWVGA Screen MTK6577 Dual Core 1.2GHz Android 4.0 3G Smart Phone N9776 (White)",5,"Great phone,totally worth it",2
"6.0"" FWVGA Screen MTK6577 Dual Core 1.2GHz Android 4.0 3G Smart Phone N9776 (White)",4,Excelente,3
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 4.7 HD IPS Display, 16GB (GSM - US Warranty)",1,"This phone seemed great at the beginning, but it has proven to be a terrible purchase. I bought one for my husband and for myself, but both of ours have had constant call quality issues. I dropped my cell phone which was definitely my fault, but only the corner was slightly cracked. When I woke up this morning after leaving my phone on the table overnight, the crack had spread throughout the top half of the screen and now the screen no longer works. It's $150 to replace the screen which is almost what the phone cost. This would be a great phone if not for the slow power on, the terrible call quality and the clearly terribly designed screen. Buyer beware!",0
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 4.7 HD IPS Display, 16GB (GSM - US Warranty)",5,Very good,1
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 4.7 HD IPS Display, 16GB (GSM - US Warranty)",4,"I really like this phone. My needs are rather small when it comes to electronics. I don't play games or watch movies. I don't like a lot of apps. And I refuse to pay $600 for a piece of equipment that will be obsolete by next year. That being said, this phone is great. The phone, yes I actually use the phone, comes in clear. It is an android and comes with google play, so you can get all your fancy apps. It takes great pictures. And is very user friendly. I literally just plugged in my SIM card and I was good to go. It is a very established brand, just hasn't had much luck breaking into the US market. But I suspect it will. Everyone is always asking me what my phone is. I had a Samsung before, and very much prefer this one. Do not feel like you are stuck with the very limited and expensive selection that the carriers provide. There are tons of great phones out there that may not be as fashionable, but will do everything the big boys can, at a third of the price. Do your homework!",2
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 4.7 HD IPS Display, 16GB (GSM - US Warranty)",5,Great phone for a reasonable price. Totally satisfied.,3
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)",5,Very good,0
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)",5,Great phone for the price paid.,1
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)",4,"It's a great phone and an awesome value. Was stepping up from a Nexus 4. It's pretty close to stock Android with some minor tweaks to the UI - which I didn't mind. Battery life was pretty good (I could go a couple days with medium usage). The screen is crisp and bright. Sounds were loud and clear. And that brings me to a minor issue I had with the ringer and notification volumes: At the lowest level they were a bit too loud. Call quality and data speeds were great. I did experience occasional sluggishness when opening and switching between apps. As I used it for a couple of days, I struggled to get used to the power button on the left and the volume rocker on the right (it's completely opposite of the Nexus 4). This, combined with the larger size made it awkward to turn on/off and adjust volumes. I thought I would enjoy a larger device with the 5.5"" screen, but I just couldn't get used to it. Perhaps, if I kept using it, I would eventually get used to it. But why compromise? I'd rather buy a device and love it from the get go. Welcome back Nexus 4! For me, I think the 4.7"" screen is the perfect size. I still recommend this phone.",2
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)",2,Droped it once doesn't work any more. Durability very low.. nice phone though,3
"ALCATEL OneTouch Pixi 3 Global Unlocked 3G Smartphone, 4.5 Display, 5MP Camera (GSM - US Warranty)",5,VERY GOD,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 3G Smartphone, 4.5 Display, 5MP Camera (GSM - US Warranty)",5,It works good the video is clear,1
"ALCATEL OneTouch Pixi 3 Global Unlocked 3G Smartphone, 4.5 Display, 5MP Camera (GSM - US Warranty)",5,A great phone,2
"ALCATEL OneTouch Pixi 3 Global Unlocked 3G Smartphone, 4.5 Display, 5MP Camera (GSM - US Warranty)",5,Good,3
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",5,"the phone is very good, 4,5-inch screen, touch very docile, is very nice, very well built, equipped and bluetooth, Gps, wifi, 3G, 4G Lte android lollipop 5.1, play store, whatsapp, and all applications android, finally very good phone, very low cost",0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",5,it was as expected,1
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",3,"THE PONE WAS WORKING GREAT, BUT AFTER 5 MONTHS I DON'T KNOW WHY THE BRIGHTNESS OF THE SCREEN SUDDENLY IS GOING CRAZY!! HOPE SOMEONE CAN HELP ME!!",2
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",5,good,3
"ASUS ZENFONE 6 A601CG 6"" Android 4.3 16GB Dual-SIM Smartphone (Black) - International Version No Warranty",5,"This phone is awesome. It has dual SIM and very smooth and handy. Has may Asus propriety functions and options can't find in any phone. Unfortunate my phone had some software issues, but will either fix it or get another one for sure",0
"ASUS ZENFONE 6 A601CG 6"" Android 4.3 16GB Dual-SIM Smartphone (Black) - International Version No Warranty",5,Excellent,1
"ASUS ZENFONE 6 A601CG 6"" Android 4.3 16GB Dual-SIM Smartphone (Black) - International Version No Warranty",1,It was broken after 3 weeks and I returned it,2
"ASUS ZENFONE 6 A601CG 6"" Android 4.3 16GB Dual-SIM Smartphone (Black) - International Version No Warranty",5,"Its an amazing phone for such a small price, I love it",3
"ASUS ZenFone 2 Deluxe Special Edition, Unlocked Cellphone, 4GB RAM, 128GB (U.S. Warranty) (Discontinued by Manufacturer)",5,Excelente,0
"ASUS ZenFone 2 Deluxe Special Edition, Unlocked Cellphone, 4GB RAM, 128GB (U.S. Warranty) (Discontinued by Manufacturer)",1,"I have had this phone since January 2016. It was fantastic. I loved it. Then about 3 or 4 months in it started developing a thin horizontal line across the screen just above center. As time went on it got worse. Then it started smearing vertically from the line down. When this occurred the phone became useless. Online searches revealed this is a wide-spread and common problem. I have tried repeatedly to get ASUS to do something. I got nothing. At one point they actually told me an RMA had been issued. Still nothing. I have been a long-time and faithful customer of ASUS. Motherboards, drives, routers, etc. No more. This phone has done me in. I cannot understand a company ignoring it customers and problems with their devices. They now have the Zenfone3 on the market. Not me. I wouldn't give you 2 dollars for it. I do not recommend this phone or any other ASUS phone based on my experience. If others have been more fortunate then good for you.",1
"ASUS ZenFone 2 Deluxe Special Edition, Unlocked Cellphone, 4GB RAM, 128GB (U.S. Warranty) (Discontinued by Manufacturer)",5,"Awesome, I dare say the best phone I've ever used. I got it for $270 on an Amazon special (128gb special edition).Very powerful processing (bought it so I can run my demanding mobile Linux tools quickly), excellent battery life, I did root it and remove a good amount of bloatware though. It's nowhere near as bad as carrier OEM bloatware, at least most of it is well written and potentially useful. Camera apertures are superb.One thing to get used to, moving from the Samsung family, touch sensitive home button, very close to space bar on keyboard when upright/portrait oriented.Dollar for dollar, so glad I bought this over more Samsung crap to fight with (no more Knox or Qualcomm!), excellent phone, would recommend to my friends and clients. 1/3~ the price of the S7!!!",2
"ASUS ZenFone 2 Deluxe Special Edition, Unlocked Cellphone, 4GB RAM, 128GB (U.S. Warranty) (Discontinued by Manufacturer)",2,"I Zenfone 2 Deluxe Special edition 128 GbReally 5 stars.Beautiful design, good package, 2 covers in the box, 128 gb of internal storage.From the box - 1.8 Gb from 4 Gb of memory used - I thought it might be less.--------------4 months later. Update from 5 sars to 2After buying a couple of weeks, the problems started with the fall-out from the network. Sticks have, 3g-4g Net working, but I can not be reached - the subscriber is unavailable for a caller. And I can not call - just silence and hang dial screen (or receive a call). Support 2 months promised an update, the updates came out, but the situation did not improve. And this type of VIP service :(3 months after the purchase of faulty screen. The phone does not fall, does not dive.",3
"ASUS ZenFone 2 Laser Unlocked Smartphone, 3GB RAM, 32GB Storage",5,Excellent,0
"ASUS ZenFone 2 Laser Unlocked Smartphone, 3GB RAM, 32GB Storage",5,"This is the best phone I have owned. Very fast processing. Beautiful screen. Great tools for setting up the features and modes.I am not sure there is a better phone for this price. I basically plugged in my SIM card, a 64GB memory chip and charged the battery. It has worked flawlessly since then.I suggest that you let the phone completely discharge a couple of times. This will calibrate the battery life feature.",1
"ASUS ZenFone 2 Laser Unlocked Smartphone, 3GB RAM, 32GB Storage",1,"This is a bad phone, as soon as upgraded stopped working. Please don't waste your money",2
"ASUS ZenFone 2 Laser Unlocked Smartphone, 3GB RAM, 32GB Storage",5,The best phone on the market. At a great price.,3
